You\Deal,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A
11A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,-,-,-,-,-,-,-,-,-,-,-
12A,2B,2B,2B,2B,2B,2B,-,-,2B,2B,2B,2B,2B,1B,1B,1B,-,-,-,3B,3B,2B,1B,1B,1B,-,-,-,-,-,-,-,-,-,-,-,-
13A,3B,3B,2B,2B,2B,2B,-,-,2B,2B,2B,2B,2B,1B,1B,2B,-,-,-,-,-,-,1B,1B,2B,-,-,-,-,-,-,-,-,-,-,-,-
14A,-,-,2B,2B,2B,-,-,-,2B,2B,2B,2B,2B,1B,1B,2B,-,-,-,-,-,-,1B,1B,2B,-,-,-,-,-,-,-,-,-,-,-,-
15A,-,-,2B,2B,2B,-,-,-,2B,2B,2B,2B,10B,1B,2B,3B,-,-,-,-,-,-,1B,2B,3B,-,-,-,-,-,-,-,-,-,-,-,-
16A,-,-,2B,14B,2B,-,-,-,2B,9B,-,-,-,-,2B,-,-,-,-,-,-,-,-,2B,-,-,-,-,-,-,-,-,-,-,-,-,-
17A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
