You\Deal,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A
4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-,-,0B,-,-,-,-,-,-,-,-,0B,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,-,-,0B,0B,-,-,-,-,-,-,-,0B,0B,-,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,-,-,-,-,-,-,-,0B,0B,0B,-,-,-,-,-,-,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-,-
10,-,0B,0B,0B,0B,0B,-,-,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
11,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
12,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
13,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
14,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
15,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
16,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
17,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,0B,0B,0B,0B,0B,0B,0B,0B,-,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
18,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,0B,0B,0B,0B,0B,0B,0B,-,-,0B,0B,-,-,-,-,-,-,-,-,-,-,-
19,-,-,-,-,-,-,0B,0B,-,-,-,-,-,-,-,-,0B,0B,0B,0B,0B,0B,-,-,-,0B,-,-,-,-,-,-,-,-,-,-,-
20,-,-,-,-,-,-,-,0B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
2A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
3A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
4A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
5A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
6A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,0B,0B,0B,0B,0B,0B,0B,0B,-,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
7A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,0B,0B,0B,0B,0B,0B,0B,-,-,0B,0B,-,-,-,-,-,-,-,-,-,-,-
8A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,11B,0B,0B,0B,0B,0B,0B,-,-,11B,0B,-,-,-,-,-,-,-,-,-,-,-
9A,0B,0B,0B,0B,0B,-,0B,0B,0B,0B,0B,0B,0B,-,-,-,13B,0B,0B,0B,0B,0B,-,-,-,13B,-,-,-,-,-,-,-,-,-,-,-
10A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
