You\Deal,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A
4,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
5,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
6,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
7,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0B1H,0H,0H,0H,0H,0H,0H,0H,0H,0B1H,0H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
8,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0B1H,0B1H,0H,0H,0H,0H,0H,0H,0H,0B1H,0B1H,0H,0H,-,-,-,-,-,-,-,-,-,-,-
9,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0H,0B1H,0B1H,0B1H,0H,0H,0H,0H,0H,0H,0B1H,0B1H,0B1H,0H,-,-,-,-,-,-,-,-,-,-,-
10,0H,0B1H,0B1H,0B1H,0B1H,0B1H,0H,0H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0H,0H,0H,0H,0H,0B1H,0B1H,0B1H,0B1H,-,-,-,-,-,-,-,-,-,-,-
11,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,0B1H,-,-,-,-,-,-,-,-,-,-,-
12,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
13,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
14,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
15,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
16,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B3S6B,0B2S10B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
17,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B2S9B,0B2S14B,0B1S,0B1S,0S,0B,0B,0B,0B,0B,0B,0B,0B,0S,0B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
18,0B2S14B,0B1S18B,0B1S,0B1S,0B1S17B,0B,0B,0B,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0S,0B,0B,0B,0B,0B,0B,0B2S7B,0S,0S,0B,0B,-,-,-,-,-,-,-,-,-,-,-
19,0S,0S,0S,0S,0S,0S,0B,0B,0S,0S,0S,0S,0S,0S,0S,0S,0B,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0S,0S,0B,-,-,-,-,-,-,-,-,-,-,-
20,0S,0S,0S,0S,0S,0S,0S,0B2S8B,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,0S,-,-,-,-,-,-,-,-,-,-,-
1A,0B2H11B,0B2H12B,0B2H14B,0B1H,0B1H,0B2H16B,0B2H7B,0B,0B2H14B,0B2H15B,0B2H16B,0B2H19B,0B1H,0B1H,0B1H,0B1H,0B2H5B,0B2H8B,0B2H8B,0B2H8B,0B2H9B,0B2H9B,0B1H,0B1H,0B1H,0B2H5B,-,-,-,-,-,-,-,-,-,-,-
2A,0B2H8B,0B2H9B,0B2H10B,0B2H16B,0B2H17B,0B2H10B,0B,0B,0B2H10B,0B2H11B,0B2H12B,0B2H13B,0B2H15B,0B1H,0B1H,0B1H19B,0B,0B,0B,0B3H5B,0B3H6B,0B2H6B,0B1H,0B1H,0B1H19B,0B,-,-,-,-,-,-,-,-,-,-,-
3A,0B3H5B,0B3H6B,0B2H7B,0B2H12B,0B2H12B,0B2H7B,0B,0B,0B2H7B,0B2H8B,0B2H9B,0B2H10B,0B2H12B,0B1H,0B1H,0B2H11B,0B,0B,0B,0B,0B,0B,0B1H,0B1H,0B2H11B,0B,-,-,-,-,-,-,-,-,-,-,-
4A,0B,0B,0B,0B2H9B,0B2H9B,0B,0B,0B,0B,0B3H5B,0B2H7B,0B2H8B,0B2H9B,0B1H,0B1H,0B2H8B,0B,0B,0B,0B,0B,0B,0B1H,0B1H,0B2H8B,0B,-,-,-,-,-,-,-,-,-,-,-
5A,0B,0B,0B,0B2H7B,0B3H6B,0B,0B,0B,0B,0B,0B,0B3H6B,0B2H9B,0B1H,0B2H17B,0B3H5B,0B,0B,0B,0B,0B,0B,0B1H,0B2H17B,0B3H5B,0B,-,-,-,-,-,-,-,-,-,-,-
6A,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B,0B2H7B,0B2H9B,0B2H11B,0S2H,0B2H12B,0B,0B,0B,0B,0B,0B,0B,0S2H,0B2H12B,0B,0B,-,-,-,-,-,-,-,-,-,-,-
7A,0B,0B,0B2H7B,0B2S14H16B,0B2H6B,0B,0B,0B,0B2H8B,0B2H10B,0B2S8H12B,0B2S12H15B,0B2S18B,0S,0S3H,0B,0B,0B,0B,0B,0B,0B,0S,0S3H,0B,0B,-,-,-,-,-,-,-,-,-,-,-
8A,0B2S16B,0B2S19B,0B1S,0B1S,0B1S,0B2S11B,0B,0B,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0S,0S11B,0B,0B,0B3S5B,0B2S7B,0B2S9B,0B2S10B,0S,0S,0S11B,0B,-,-,-,-,-,-,-,-,-,-,-
9A,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0B1S,0B,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0S,0S,0S13B,0B1S,0B1S,0B1S,0B1S,0B1S,0S,0S,0S,0S13B,-,-,-,-,-,-,-,-,-,-,-
10A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,-,-,-,-,-,-,-,-,-,-,-
12A,2B,2B,2B,2B,2B,2B,-,-,2B,2B,2B,2B,2B,1B,1B,1B,-,-,-,3B,3B,2B,1B,1B,1B,-,-,-,-,-,-,-,-,-,-,-,-
13A,3B,3B,2B,2B,2B,2B,-,-,2B,2B,2B,2B,2B,1B,1B,2B,-,-,-,-,-,-,1B,1B,2B,-,-,-,-,-,-,-,-,-,-,-,-
